parcel_id,latitude,longitude
"0045F00144000000","40.467670714","-80.0278379504"
"0087P00054000000","40.424225018","-79.9279975729"
"0061M00020000000","40.3983207148","-79.9996443417"
"0012M00051000000","40.4266039797","-79.9667965397"
"0050L00121000000","40.4663519302","-79.9375822747"
"0082P00085000000","40.4737799095","-79.9277408253"
"0128J00204000000","40.4283901521","-79.9154916024"
"0022K00369000000","40.4554924242","-80.025249167"
"0055R00204000000","40.4160099586","-79.938260137"
"0083H00293000000","40.469619364","-79.918805463"
"0082H00188000000","40.4782327877","-79.9180457489"
"0173A00176000000","40.4699170979","-79.8961068508"
"0081C00244000000","40.4797870204","-79.9398303192"
"0060S00122000000","40.3963866197","-79.9846824041"
"0026E00123000000","40.4579540367","-79.9623681722"
"0012E00110001700","40.4308705201","-79.9820015964"
"0013D00001000000","40.4233462021","-79.9702554807"
"0023K00330000000","40.4572978265","-80.0089573591"
"0083K00201000000","40.4673069867","-79.9252631451"
"0027B00085000000","40.4520815467","-79.959610063"
"0125J00120000000","40.4562370919","-79.9162070297"
"0134C00024000000","40.3826475276","-79.9212285956"
"0008J00030000000","40.4461591835","-80.0159089105"
"0231S00130000000","40.4545641076","-79.8684688395"
"0008F00181000000","40.447846977","-80.0096368756"
"0175H00050000000","40.449322424","-79.8866963215"
"0002B00051000000","40.4413703466","-79.994859348"
"0019J00209000000","40.4359932111","-80.0467432714"
"0053H00016000000","40.4387974467","-79.933727656"
"0002J00104000000","40.438133723","-79.9988191547"
"0015E00074000000","40.4193549228","-80.0137060213"
"0001D00257000000","40.4412946265","-80.0005095045"
"0009N00044000000","40.4435677104","-79.9966275732"
"0096B00146000000","40.3929356027","-80.0084311529"
"0045M00081000000","40.4668364599","-80.0185954923"
"0061M00142000000","40.3981155864","-80.0013940259"
"0231N00032000000","40.4551104322","-79.8824121973"
"0040D00318000000","40.4427380065","-80.0503429048"
"0049J00089000000","40.4668584018","-79.964597393"
"0002H00012000000","40.4383727471","-79.9861840307"
"0028K00250000000","40.4370908505","-79.9619519007"
"0002J00020000000","40.4377570324","-79.9958684161"
"0071E00076000000","40.4590450117","-80.0793093184"
"0012N00098000000","40.424399622","-79.9785875119"
"0007L00032000000","40.4471260635","-80.0220131787"
"0029E00015000000","40.4284602373","-79.9662815451"
"0008L00008000000","40.4469552209","-80.0056689847"
"0022P00243000000","40.4531736012","-80.0272896323"
"0028E00116000000","40.4388200854","-79.9632237331"
"0026H00293000000","40.4596901219","-79.9515617701"
"0025A00097000000","40.4605499368","-79.9808423575"
"0007B00157000000","40.4510387716","-80.0254607816"
"0171G00047000000","40.487941063","-79.8873663204"
"0009G00080000000","40.4496848497","-79.9872587236"
"0081H00138000000","40.4772057053","-79.9344430693"
"0027G00034000000","40.4498543142","-79.9569739207"
"0051R00186000000","40.4548713007","-79.9375714633"
"0002C00420000000","40.4420584444","-79.9897311309"
"0080C00121000000","40.4804525085","-79.9547900159"
"0029J00120000000","40.4276700429","-79.9648273521"
"0028K00150000000","40.4367623558","-79.9602108519"
"0009D00097000000","40.4516859773","-79.9842471428"
"0049C00153000000","40.4716667522","-79.9573865932"
"0029B00302000000","40.4310612357","-79.9617216464"
"0009D00068000000","40.4513092878","-79.984756839"
"0114F00006000000","40.4890372193","-80.0413141363"
"0004R00309000000","40.4244032448","-80.0041528213"
